episode_length,speed,alpha,reward
8.374,32.202,31.098,0.113
8.796,29.909,32.023,0.093
12.195,29.678,40.528,0.068
12.439,30.384,36.557,0.12
10.246,29.72,42.027,0.063
3.138,19.86,32.557,0.085
9.982,30.777,35.319,0.129
8.185,30.64,24.322,0.112
9.719,31.814,31.563,0.081
10.908,33.314,38.641,0.097
3.299,21.882,22.22,0.122
9.27,31.347,26.635,0.12
4.27,26.317,16.402,0.152
3.765,23.032,32.14,0.169
10.776,31.581,37.949,0.091
5.588,28.784,29.461,0.155
3.219,22.536,20.392,0.186
8.508,30.489,24.669,0.122
4.457,23.68,23.546,0.146
3.824,22.575,36.989,0.105
10.599,31.869,23.992,0.132
12.438,31.08,38.071,0.088
7.873,31.305,21.448,0.15
3.562,22.864,16.225,0.136
8.758,27.877,37.786,0.076
4.641,26.732,25.345,0.106
10.472,32.074,33.322,0.101
10.937,31.784,33.864,0.095
9.244,30.508,28.196,0.12
9.273,29.378,28.78,0.119
12.399,31.924,43.631,0.102
3.231,23.266,17.499,0.22
3.043,19.685,37.575,0.093
5.808,28.472,28.034,0.146
5.885,30.008,29.152,0.129
4.778,23.82,24.545,0.104
11.069,31.693,34.658,0.107
5.259,29.938,21.758,0.176
8.719,31.482,26.939,0.131
8.465,30.853,34.744,0.097
5.661,29.189,23.937,0.13
12.002,24.348,34.99,0.099
10.354,32.686,30.578,0.129
10.556,30.995,31.343,0.127
3.184,23.318,20.893,0.192
7.538,31.84,27.204,0.135
11.224,30.058,34.052,0.098
9.584,29.549,28.617,0.123
