episode_length,speed,angle_diff,dist_diff,reward
9.005,34.983,20.001,5.812,0.166
4.772,28.927,12.14,0.91,0.448
8.524,33.052,10.65,1.993,0.398
12.678,35.053,15.259,3.264,0.222
13.621,37.03,32.642,12.394,0.122
4.851,30.102,10.241,1.253,0.471
6.555,20.433,21.37,2.775,0.318
8.694,31.494,14.927,3.381,0.235
20.184,34.142,58.799,45.228,-0.23
10.026,28.305,12.737,2.411,0.332
5.147,29.648,17.682,1.707,0.289
8.521,32.238,13.255,2.253,0.289
7.99,32.617,13.939,2.661,0.342
5.206,30.142,13.541,1.077,0.409
6.072,23.77,36.641,3.617,0.17
5.426,31.166,12.926,0.925,0.418
5.176,27.477,12.276,1.194,0.457
8.085,33.884,11.883,1.224,0.343
10.048,27.918,15.146,3.086,0.306
7.443,33.063,12.29,2.298,0.383
29.772,38.947,65.564,58.657,-0.255
6.617,30.019,20.405,1.658,0.425
4.931,27.362,12.078,1.821,0.361
14.428,29.973,18.9,3.066,0.272
5.445,30.364,10.48,0.951,0.523
8.794,31.964,15.54,2.635,0.294
8.568,33.002,13.103,1.95,0.409
20.471,24.614,64.263,15.817,-0.076
5.276,31.54,14.182,1.594,0.349
7.645,29.516,39.559,1.573,0.349
279.971,30.7581666666667,21.4139666666667,6.30616666666667,0.284633333333333
